numero_polizza;nome_assicurato;validità;email;tipo_cliente;;
132234729003;Daniele Trapanese;YYYY-05-DD;daniele.trapanese@email.it;CLIENT
736147379390;Gilberto Gentileschi;YYYY-01-DD;gilberto.gentileschi@email.it;PROSPECT RED
119100919706;Leone Gullotta-Boezio;YYYY-04-DD;leone.gullotta.boezio@email.it;PROSPECT
103884116361;Piermaria Matteotti;YYYY-11-DD;piermaria.matteotti@email.it;CLIENT
510809548135;Eleanora Travaglia;YYYY-12-DD;eleanora.travaglia@email.it;PROSPECT
155095793255;Galasso Stucchi;YYYY-10-DD;galasso.stucchi@email.it;PROSPECT RED
171031617176;Bianca Serao;YYYY-04-DD;bianca.serao@email.it;CLIENT
597397572749;Clelia Michelangeli;YYYY-03-DD;clelia.michelangeli@email.it;PROSPECT RED
140878409988;Hugo Caracciolo;YYYY-05-DD;hugo.caracciolo@email.it;PROSPECT
502286265735;Dott. Rosalia Errani;YYYY-04-DD;rosalia.errani@email.it;CLIENT
008512345678;blabla;YYYY-04-21;blabla@gmail.com;PROSPECT RED
